line_id,sku,line_name,capable,rate_kgph
3,280355,P12,0,608.0
4,280355,P13,1,748.0
5,280355,P14,0,689.0
6,280355,P15,1,630.0
7,280355,P16,0,800.0
8,280355,P17,1,1454.0
9,280355,P18,0,1486.0
10,280355,P19,0,1454.0
11,280355,P20,1,1475.0
12,280355,P21,0,1432.0
13,280355,P22,1,1356.0
0,280358,P09,1,716.0
1,280358,P10,0,635.0
2,280358,P11,1,770.0
3,280358,P12,0,608.0
4,280358,P13,1,748.0
5,280358,P14,0,689.0
6,280358,P15,1,630.0
7,280358,P16,0,800.0
8,280358,P17,0,1454.0
9,280358,P18,0,1486.0
10,280358,P19,0,1454.0
11,280358,P20,1,1475.0
12,280358,P21,0,1432.0
13,280358,P22,0,1356.0
0,280365,P09,0,716.0
1,280365,P10,0,635.0
2,280365,P11,1,770.0
3,280365,P12,1,608.0
4,280365,P13,1,748.0
5,280365,P14,1,689.0
6,280365,P15,0,630.0
7,280365,P16,0,800.0
8,280365,P17,0,1454.0
9,280365,P18,0,1486.0
10,280365,P19,0,1454.0
11,280365,P20,0,1475.0
12,280365,P21,0,1432.0
13,280365,P22,0,1356.0
0,280375,P09,0,716.0
1,280375,P10,0,635.0
2,280375,P11,0,770.0
3,280375,P12,1,608.0
4,280375,P13,0,748.0
5,280375,P14,0,689.0
6,280375,P15,0,630.0
7,280375,P16,0,800.0
8,280375,P17,0,1454.0
9,280375,P18,0,1486.0
10,280375,P19,0,1454.0
11,280375,P20,0,1475.0
12,280375,P21,0,1432.0
13,280375,P22,0,1356.0
0,280376,P09,0,716.0
1,280376,P10,0,635.0
2,280376,P11,0,770.0
3,280376,P12,1,608.0
4,280376,P13,0,748.0
5,280376,P14,0,689.0
6,280376,P15,0,630.0
7,280376,P16,0,800.0
8,280376,P17,0,1454.0
9,280376,P18,0,1486.0
10,280376,P19,0,1454.0
11,280376,P20,0,1475.0
12,280376,P21,0,1432.0
13,280376,P22,0,1356.0
0,280377,P09,0,716.0
1,280377,P10,0,635.0
2,280377,P11,0,770.0
3,280377,P12,1,608.0
4,280377,P13,1,748.0
5,280377,P14,0,689.0
6,280377,P15,0,630.0
7,280377,P16,0,800.0
8,280377,P17,0,1454.0
9,280377,P18,0,1486.0
10,280377,P19,0,1454.0
11,280377,P20,0,1475.0
12,280377,P21,0,1432.0
13,280377,P22,0,1356.0
0,280378,P09,0,716.0
1,280378,P10,0,635.0
2,280378,P11,0,770.0
3,280378,P12,1,608.0
4,280378,P13,0,748.0
5,280378,P14,0,689.0
6,280378,P15,1,630.0
7,280378,P16,0,800.0
8,280378,P17,0,1454.0
9,280378,P18,0,1486.0
10,280378,P19,0,1454.0
11,280378,P20,0,1475.0
12,280378,P21,0,1432.0
13,280378,P22,0,1356.0
0,280379,P09,0,716.0
1,280379,P10,0,635.0
2,280379,P11,0,770.0
3,280379,P12,1,608.0
4,280379,P13,0,748.0
5,280379,P14,0,689.0
6,280379,P15,0,630.0
7,280379,P16,0,800.0
8,280379,P17,0,1454.0
9,280379,P18,0,1486.0
10,280379,P19,0,1454.0
11,280379,P20,0,1475.0
12,280379,P21,0,1432.0
13,280379,P22,0,1356.0
0,280380,P09,0,716.0
1,280380,P10,0,635.0
2,280380,P11,0,770.0
3,280380,P12,1,608.0
4,280380,P13,0,748.0
5,280380,P14,0,689.0
6,280380,P15,0,630.0
7,280380,P16,0,800.0
8,280380,P17,0,1454.0
9,280380,P18,0,1486.0
10,280380,P19,0,1454.0
11,280380,P20,0,1475.0
